,surname,name,org,region,year
240,Повалишев,Сергей,Hoster.by | cctld.by,Беларусь,2017
241,Сабиров,Шавкат,Интернет Ассоциация Казахстана,Казахстан,2017
242,Семеняка,Алексей,RIPE NCC,Россия,2017
243,Тодоров,Леонид,APTLD,Россия,2017
244,Якушев,Михаил,ICANN,Россия,2017
245,Ярных,Андрей,АО «Лаборатория Касперского»,Россия,2017
246,Анисимов,Михаил,Координационный центр доменов .RU/.РФ,Россия,2018
247,Афанасьев,Дмитрий,Координационный центр доменов .RU/.РФ,Россия,2018
248,Бакридж,Крис,RIPE NCC,Нидерданды,2018
249,Буртиков,Максим,RIPE NCC,Нидерланды,2018
250,Воробьев,Андрей,Координационный центр доменов .RU/.РФ,Россия,2018
251,Гаэтано,Роберто,Public Interest Registry,Австрия,2018
252,Гребенников,Сергей,РОЦИТ,Россия,2018
253,Грицай,Георгий,"АНО ""Цифровая экономика""",Россия,2018
254,Зайцев,Дмитрий,МГУ имени М.В. Ломоносова,Россия,2018
255,Засурский,Иван,МГУ имени М. В. Ломоносова,Россия,2018
256,Зыков,Владимир,Ассоциация профессиональных пользователей социальных сетей и мессенджеров,Россия,2018
257,Иванов,Андрей,Микрософт,Россия,2018
258,Казарян,Карен,РАЭК,Россия,2018
259,Калинин,Александр,Group-IB,Россия,2018
260,Кляйнвахтер,Вольфанг,Орхусский университет,Дания,2018
261,Куликова,Александра,ICANN,Россия,2018
262,Левин,Леонид,Государственная Дума РФ,Россия,2018
263,Лукацкий,Алексей,Cisco Systems,Россия,2018
264,МакКоннелл,Брюс,Институт Восток-Запад,Россия,2018
265,Нахли,Фарид,Международный союз электросвязи,Россия,2018
266,Нгуен,Хонг Тонг,VNNIC,Вьетнам,2018
267,Новиков,Алексей,Positive  Technologies,Россия,2018
268,Паловирта,Маарит,Internet Society,Бельгия,2018
269,Петерка,Мартин,"CZ.NIC, z.s.p.o.",Чехия,2018
270,Плуготаренко,Сергей,РАЭК,Россия,2018
271,Пыжов,Глеб,Фонд поддержки интернет,Россия,2018
272,Ревенков,Павел,FinCERT,Россия,2018
273,Рубцова,Ольга,Академия инновационного образования и развития,Россия,2018
274,Сабиров,Шавкат,Интернет Ассоциация Казахстана,Казахстан,2018
275,Семеняка,Алексей,RIPE NCC,Нидерланды,2018
276,Сонинен,Йонне,ICANN,Финляндия,2018
277,Тодоров,Леонид,APTLD,Россия,2018
278,Тодоров,Владимир,Lenta.ru,Россия,2018
279,Фишман,Антон,Group-IB,Россия,2018
280,Янь,Ли,China Institute for Contemporary International Relations (CICIR),Китай,2018
281,Ангеловска,Нина,Grouper.mk,Северная Македония,2019
282,Бокова,Людмила,Совет Федерации,Россия,2019
283,Боровков,Алексей,Санкт-Петербургский политехнический университет Петра Великого,Россия,2019
284,Бунина,Елена,Яндекс,Россия,2019
285,Володина,Елена,Леди Mail.ru,Россия,2019
286,Габриелян,Владимир,Mail.ru Group,Россия,2019
287,Гратволь,Гюнтер,Министерство экономики и энергетики Германии,Германия,2019
288,Добродеев,Борис,Mail.ru Group,Россия,2019
289,Донк,Фредерик,Internet Society (ISOC),Бельгия,2019
290,Жаркова,Александра,SETTERS,Россия,2019
291,Йевтович,Данко,ICANN,Россия,2019
292,Кавалли,Ольга,Южная школа по управлению интернетом,Аргентина,2019
293,Ким,Екатерина,iTrack,Россия,2019
294,Крайнов,Александр,Яндекс,Россия,2019
295,Крутских,Андрей,МИД России,Россия,2019
296,Кузнецов,Евгений,Орбита Капитал Партнерз,Россия,2019
297,Курбалийя,Йован,Группа высокого уровня Генерального секретаря ООН по цифровому сотрудничеству,Россия,2019
298,Левин,Леонид,Государственная Дума РФ,Россия,2019
299,Масанго,Ченгетай Фарай,UN Secretariat of the Internet Governance Forum,Швейцария,2019
300,Натёкин,Алексей,Data Souls,Россия,2019
301,Нестерова,Анна,Global Rus Trade,Россия,2019
302,Пеннинкс,Патрик,Совет Европы,Франция,2019
303,Петров,Сергей,АНО «Институт развития интернета»,Россия,2019
304,Селендеева,Оксана,Coddy,Россия,2019
305,Солнцева,Екатерина,Государственная корпорация по атомной энергии «Росатом»,Россия,2019
306,Федоров,Максим,Сколтех,Россия,2019
307,Фенг,Гуо,Академия наук КНР,Россия,2019
308,Чуков,Роман,MAG IGF,Россия,2019
309,Шеварднадзе,Софико,Russia Today,Россия,2019
310,Шнайдер,Томас,Министерство связи Швейцарии,Швейцария,2019
311,Эдерер,Маркус,Посол Европеского Союза в России,Россия,2019
312,Абрамова,Анна,МГИМО,Россия,2021
313,Бочерова,Елена,Акронис-Инфозащита,Россия,2021
314,Боярский,Сергей,"Комитет Государственной Думы РФ по информационной политике, информационным технологиям и связи",Россия,2021
315,Вагнер,Милош,Роскомнадзор,Россия,2021
316,Великородняя,Наталья,МТС,Россия,2021
317,Вихул,Лийс,Cyber Law International,Эстония,2021
318,Воробьев,Андрей,Координационный центр доменов .RU/.РФ,Россия,2021
319,Габриелян,Владимир,Mail.ru Group,Россия,2021
320,Ганеева,Эльза,Microsoft,Россия,2021
321,Глущенко,Вадим,АНО «Центр компетенций по глобальной ИТ-кооперации»,Россия,2021
322,Голованов,Сергей,Лаборатория Касперского,Россия,2021
323,Гореславский,Алексей,Диалог,Россия,2021
324,де ла Шапель,Бертран,Internet & Jurisdiction Policy Network,Франция,2021
325,де Салинс,Гислен,OEC,Франция,2021
326,Дмитрик,Николай,Московский государственный университет имени М.В.Ломоносова,Россия,2021
327,Дорин,Богдан-Мартин,Бюро развития электросвязи Международного союза электросвязи,Швейцария,2021
328,Дупан,Анна,Высшая школа экономики,Россия,2021
329,Заева,Елена,ФАС России,Россия,2021
330,Зубарев,Николай,АНО «Цифровая экономика»,Россия,2021
331,Игнатьев,Андрей,"Центр Глобальной ИТ-Кооперации, МГИМО",Россия,2021
332,Исмаилов,Рашид,ПАО «ВымпелКом»,Россия,2021
333,Казарян,Карен,РАЭК,Россия,2021
334,Калинин,Александр,Group-IB,Россия,2021
335,Карвер,Мэнди,ICANN,США,2021
336,Кастекс,Люсьен,AFNIC,Россия,2021
337,Клейнвахтер,Вольфанг,Орхусский университет,Дания,2021
338,Клейссен,Ян,Council of Europe,Франция,2021
339,Контемиров,Юрий,Роскомнадзор,Россия,2021
340,Крупенин,Роман,Яндекс,Россия,2021
341,Кулешов,Андрей,МФТИ,Россия,2021
342,Кунгурцев,Артем,Департамент информационных технологий города Москвы,Россия,2021
